table_id,table_name,table_desc,update_freq,upstream,downstream,ordinal,field_name,field_type,field_desc,field_source,required,source_file,source_line_start,source_line_end,exported_at
t_policy,policy_regulations,政策法规数据库,周,各国政府网站,dashboard_kpi,1,policy_id,VARCHAR(20),政策唯一ID,系统,true,app/src/pages/DataManage.tsx,504,520,2026-06-30T01:46:22.195Z
t_policy,policy_regulations,政策法规数据库,周,各国政府网站,dashboard_kpi,2,country,VARCHAR(50),国家,政府网站,true,app/src/pages/DataManage.tsx,504,520,2026-06-30T01:46:22.195Z
t_policy,policy_regulations,政策法规数据库,周,各国政府网站,dashboard_kpi,3,regulator,VARCHAR(100),监管机构,政府网站,true,app/src/pages/DataManage.tsx,504,520,2026-06-30T01:46:22.195Z
t_policy,policy_regulations,政策法规数据库,周,各国政府网站,dashboard_kpi,4,title,VARCHAR(500),政策标题,政府网站,true,app/src/pages/DataManage.tsx,504,520,2026-06-30T01:46:22.195Z
t_policy,policy_regulations,政策法规数据库,周,各国政府网站,dashboard_kpi,5,effective_date,DATE,生效日期,政府网站,true,app/src/pages/DataManage.tsx,504,520,2026-06-30T01:46:22.195Z
t_policy,policy_regulations,政策法规数据库,周,各国政府网站,dashboard_kpi,6,tag,VARCHAR(50),标签（合规新规/标准更新/强制认证等）,手工录入,true,app/src/pages/DataManage.tsx,504,520,2026-06-30T01:46:22.195Z
t_policy,policy_regulations,政策法规数据库,周,各国政府网站,dashboard_kpi,7,urgency,VARCHAR(20),紧急程度（urgent/normal）,评估,true,app/src/pages/DataManage.tsx,504,520,2026-06-30T01:46:22.195Z
t_policy,policy_regulations,政策法规数据库,周,各国政府网站,dashboard_kpi,8,full_text,TEXT,政策全文,政府网站,false,app/src/pages/DataManage.tsx,504,520,2026-06-30T01:46:22.195Z
t_policy,policy_regulations,政策法规数据库,周,各国政府网站,dashboard_kpi,9,impact_assessment,TEXT,影响评估,专家评估,false,app/src/pages/DataManage.tsx,504,520,2026-06-30T01:46:22.195Z
t_policy,policy_regulations,政策法规数据库,周,各国政府网站,dashboard_kpi,10,source_url,VARCHAR(500),原文链接,政府网站,true,app/src/pages/DataManage.tsx,504,520,2026-06-30T01:46:22.195Z
t_policy,policy_regulations,政策法规数据库,周,各国政府网站,dashboard_kpi,11,created_at,TIMESTAMP,入库时间,系统,true,app/src/pages/DataManage.tsx,504,520,2026-06-30T01:46:22.195Z
